trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T41,2020-01-03 10:00:00,2020-01-05 17:00:00,LONG,1.11646,1.11594,-5.20000000000076,-8.637200000001261,time_stop,LONDON,Friday,BULL,0.0010460768854500054,55,IS
T89,2020-01-07 10:00:00,2020-01-07 17:00:00,SHORT,1.1140400000000001,1.11477,-7.299999999998974,-9.548399999998658,time_stop,LONDON,Tuesday,BEAR,0.0010699078522331134,7,IS
T119,2020-01-08 16:00:00,2020-01-08 23:00:00,SHORT,1.1104,1.11154,-11.399999999999189,-38.44079999999727,time_stop,NY,Wednesday,BEAR,0.0010567910022681417,7,IS
T137,2020-01-09 10:00:00,2020-01-09 17:00:00,SHORT,1.11009,1.11065,-5.599999999998939,-16.189599999996933,time_stop,LONDON,Thursday,BEAR,0.0010604904237298558,7,IS
T185,2020-01-13 10:00:00,2020-01-13 17:00:00,LONG,1.11344,1.11353,0.8999999999992347,2.5244999999978535,time_stop,LONDON,Monday,BULL,0.000867159692746698,7,IS
T215,2020-01-14 16:00:00,2020-01-14 23:00:00,SHORT,1.11261,1.11331,-6.999999999999229,-36.581999999995965,time_stop,NY,Tuesday,BEAR,0.0007571870069916238,7,IS
T257,2020-01-16 10:00:00,2020-01-16 17:00:00,SHORT,1.11394,1.11372,2.1999999999988695,3.500199999998201,time_stop,LONDON,Thursday,BEAR,0.0009079244023563354,7,IS
T310,2020-01-20 15:00:00,2020-01-20 22:00:00,LONG,1.1098999999999999,1.10973,-1.6999999999978144,-4.778699999993857,time_stop,NY,Monday,BULL,0.0006228333339489956,7,IS
T329,2020-01-21 10:00:00,2020-01-21 17:00:00,SHORT,1.10964,1.10827,13.699999999998713,30.386599999997145,time_stop,LONDON,Tuesday,BEAR,0.0007583307569518529,7,IS
T377,2020-01-23 10:00:00,2020-01-23 17:00:00,SHORT,1.10449,1.10553,-10.399999999999299,-7.9871999999994605,time_stop,LONDON,Thursday,BEAR,0.0010605760979412902,7,IS
T425,2020-01-27 10:00:00,2020-01-27 17:00:00,SHORT,1.10111,1.1018,-6.899999999998574,-15.690599999996756,time_stop,LONDON,Monday,BEAR,0.0008682737587627524,7,IS
T454,2020-01-28 15:00:00,2020-01-28 22:00:00,LONG,1.1023,1.10138,-9.200000000000319,-30.55320000000106,time_stop,NY,Tuesday,BULL,0.0006980106775292864,7,IS
T497,2020-01-30 10:00:00,2020-01-30 17:00:00,LONG,1.10367,1.10315,-5.199999999998539,-11.507599999996767,time_stop,LONDON,Thursday,BULL,0.0008162802607872821,7,IS
T526,2020-01-31 15:00:00,2020-02-02 22:00:00,LONG,1.10917,1.10811,-10.600000000000609,-35.531200000002045,time_stop,NY,Friday,BULL,0.0009577340324377567,55,IS
T569,2020-02-04 10:00:00,2020-02-04 17:00:00,SHORT,1.10369,1.10444,-7.500000000000284,-25.222500000000956,time_stop,LONDON,Tuesday,BEAR,0.0008013415310374289,7,IS
T617,2020-02-06 10:00:00,2020-02-06 17:00:00,SHORT,1.09754,1.09807,-5.300000000001415,-8.79800000000235,time_stop,LONDON,Thursday,BEAR,0.0008388233584781485,7,IS
T665,2020-02-10 10:00:00,2020-02-10 17:00:00,SHORT,1.0922800000000001,1.09107,12.100000000001554,19.287400000002474,time_stop,LONDON,Monday,BEAR,0.0008512205392540185,7,IS
T713,2020-02-12 10:00:00,2020-02-12 14:00:00,SHORT,1.08931,1.08668,26.299999999999102,60.25329999999794,take_profit,LONDON,Wednesday,BEAR,0.0008608277446645001,4,IS
T738,2020-02-13 11:00:00,2020-02-13 18:00:00,SHORT,1.0846,1.08413,4.699999999999704,9.70079999999939,time_stop,LONDON,Thursday,BEAR,0.0009923489881754146,7,IS
T766,2020-02-14 15:00:00,2020-02-16 22:00:00,SHORT,1.08359,1.08384,-2.4999999999986144,-11.022499999993892,time_stop,NY,Friday,BEAR,0.0008852784455938066,55,IS
T785,2020-02-17 10:00:00,2020-02-17 17:00:00,SHORT,1.08283,1.08366,-8.300000000001084,-29.67250000000388,time_stop,LONDON,Monday,BEAR,0.0007763918113035046,7,IS
T815,2020-02-18 16:00:00,2020-02-18 23:00:00,SHORT,1.07894,1.07972,-7.800000000000029,-24.59340000000009,time_stop,NY,Tuesday,BEAR,0.0009238790131330757,7,IS
